,Timestamp,Site ID,Date and Time,Flow Condition,NOTES,Site Photo or Video?,Height above (+) or below (-) v-notch in cm,"Flow Measurement, Time in Seconds ","Flow Measurement, Volume in mL"
138,2020-05-15 11:01:47,SDR-204A,2020-05-14 10:59:00,Flowing,lite flow,,2.0,60.0,8800
139,2020-05-15 11:03:56,SDR-203A,2020-05-14 10:59:00,Ponded,"no flow, another consultant was there before us and said there was trickle before we arrived",,0.0,60.0,0
140,2020-05-15 11:07:11,SWT-235,2020-05-14 11:38:00,Flowing,looks good,https://drive.google.com/open?id=1JdQUwnvYmXPtKA7m6WoteZouCB3PGY3i,3.0,12.0,3900
141,2020-05-15 11:09:09,SWT-162,2020-05-14 12:00:00,Ponded,"possible leak, repaired with mortar",https://drive.google.com/open?id=1aqgoCk2BfjlJDPChpdtXyCrmX5Ik7aGU,-2.0,60.0,0
142,2020-05-15 11:11:34,SWT-233,2020-05-14 12:40:00,Ponded,no flow,https://drive.google.com/open?id=1rc874Rd6UWJZKAX51iRK8lmmep1KSuch,0.0,60.0,0
143,2020-05-15 11:14:02,SWT-019,2020-05-14 12:56:00,Flowing,lite flow,,0.4,60.0,200
144,2020-05-15 13:46:58,CAR-059,2020-05-15 13:45:00,Flowing,Level seems to have dropped alot,https://drive.google.com/open?id=1LmvUmClBYM2AZqwjeTJ7p2qFAZllu5kD,3.4,0.0,0
145,2020-05-15 14:06:23,CAR-007,2020-05-15 14:05:00,Flowing,Evidence of flow over the weir. Some sticks and twigs about 1cm high in vee,"https://drive.google.com/open?id=100X9jyxPjExz87G_1TNxax2keY6ekKm1, https://drive.google.com/open?id=1i7XMh2NeR5tila68cFB18Evc0vt9iOXS",-1.6,60.0,0
146,2020-05-18 13:49:47,CAR-072O,2020-05-13 14:50:00,Ponded,None,,0.0,60.0,0
147,2020-05-18 13:56:55,SWT-162,2020-05-04 11:23:00,Flowing,N/A,,1.2,60.0,2550
148,2020-05-18 14:00:38,SDR-036,2020-05-04 00:00:00,Flowing,N/A,,3.0,8.0,2050
149,2020-05-18 14:02:00,SDR-036,2020-05-04 12:00:00,Flowing,N/A,,3.0,7.0,1800
150,2020-05-18 14:02:45,SDR-036,2020-05-04 12:00:00,Flowing,N/A,,3.0,5.0,1400
151,2020-05-18 14:03:49,SDR-127,2020-05-04 12:30:00,Flowing,N/A,,1.8,30.0,1900
152,2020-05-18 14:04:48,SDR-127,2020-05-04 12:30:00,Flowing,N/A,,1.8,25.0,1600
153,2020-05-18 14:06:02,SDR-127,2020-05-04 12:30:00,Flowing,N/A,,1.8,12.0,800
154,2020-05-18 14:12:19,SDR-064,2020-05-04 14:50:00,Dry,Site was dry. Measurements below are all zero just to populate the required fields. ,,0.0,0.0,0
155,2020-05-18 14:20:14,SDR-064A,2020-05-04 14:55:00,Leaking,"Leaking, called out by Joanna, repaired. level was at the v-notch",,0.0,0.0,0
156,2020-05-18 14:26:19,SDR-064D,2020-05-04 15:05:00,Leaking,"Leaking, repaired. ponded at the v notch",,0.0,0.0,0
157,2020-05-18 14:27:21,SDR-064B,2020-05-04 15:10:00,Flowing,N/A,,0.6,60.0,280
158,2020-05-18 14:28:04,SDR-064B,2020-05-04 15:10:00,Flowing,N/A,,0.6,60.0,280
159,2020-05-18 14:32:56,SWT-030,2020-05-01 12:30:00,Flowing,N/A,,4.0,6.32,3700
160,2020-05-18 14:33:41,SWT-019,2020-05-01 12:56:00,Flowing,N/A,,0.75,60.0,800
161,2020-05-18 14:34:26,SWT-019,2020-05-01 12:56:00,Flowing,N/A,,0.75,60.0,800
162,2020-05-18 14:35:29,SWT-068,2020-05-01 14:08:00,Flowing,N/A,,7.0,1.52,4400
163,2020-05-18 14:36:30,SWT-068,2020-05-01 14:08:00,Flowing,N/A,,7.0,2.07,5000
164,2020-05-18 14:37:52,SWT-068,2020-05-01 14:08:00,Flowing,N/A,,7.0,2.05,5000
165,2020-05-18 14:39:19,SDR-041,2020-05-01 14:43:00,Flowing,N/A,,4.0,12.32,6200
166,2020-05-18 14:40:09,SDR-041,2020-05-01 14:43:00,Flowing,N/A,,4.0,11.31,6200
167,2020-05-18 14:41:14,SDR-041,2020-05-01 14:43:00,Flowing,N/A,,4.0,10.51,6000
168,2020-05-18 14:42:38,SDR-098,2020-05-01 15:07:00,Flowing,N/A,,0.5,1.07,25
169,2020-05-18 14:45:37,SDR-127,2020-05-01 15:30:00,Flowing,N/A,,1.5,61.0,3300
170,2020-05-18 14:46:24,SDR-127,2020-05-01 15:30:00,Flowing,N/A,,1.5,60.0,3400
